jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
2001;Bad zur Sonne, Graz;HB;243;m³/h;243 m³/h;AT;46.6863113;15.980764;;;;;;;;;
2001;Therme Loipersdorf - Schaffelbad;Therme 3;244;m³/h;244 m³/h;AT;46.9644025;15.4786966;;;;;;;;;
2001;Hotel Triest, Bad Radkersburg;HB / FB;70 /75;m³/h;70 /75 m³/h;AT;46.86667;14.76667;;;;;;;;;
2001;Kalsdorf;HB Kinderbecken Sanierung ;14;m³/h;14 m³/h;AT;46.96085;15.47638;;;;;;;;;
2001;Therme Bad Weissenbach;HB;30;m³/h;30 m³/h;AT;46.62722;13.36722;;;;;;;;;
2001;Hotel Radkersburger Hof    Bad Radkersburg ;FB;134;m³/h;134 m³/h;AT;47.44637;12.39215;;;;;;;;;
2001;Hotel Hubertushof, Hermagor;FB;46;m³/h;46 m³/h;AT;46.7273418;15.293861;;;;;;;;;
2001;Hotel Schwarzer Adler, Kitzbühel;HB, Whirlpool;72, 23;m³/h;72, 23 m³/h;AT;46.623943;14.3075976;;;;;;;;;
2001;Naturschwimmteich Pölfing-Brunn;FB;11;m³/h;11 m³/h;AT;46.9842259;16.1122001;;;;;;;;;
2001;Klagenfurt Teilstromozon;HB;60;m³/h;60 m³/h;AT;47.1705951;16.0278573;;;;;;;;;
2001;Therme Loipersdorf;FB Außenbecken Attraktionen;26;m³/h;26 m³/h;AT;46.88680287858122;13.509093125611473;;;;;;;;;
2001;Hotel Hubertushof, Hermagor;FB;46;m³/h;46 m³/h;AT;46.8147173;13.7792843;;;;;;;;;
2001;Heiltherme Bad Waltersdorf;FB Massagebecken ;80;m³/h;80 m³/h;AT;46.58381;13.255329;;;;;;;;;
2001;Babyhotel Neuschützer Trebesing;FB ;26;m³/h;26 m³/h;AT;48.11912;16.33753;;;;;;;;;
2002;Hotel Ronacher ;HB 71 m³/h, HB Massagebecken 60 m³/h, FB Außenbecken 70 m³/h, HB Kaltbecken 40 m³/h;71;m³/h;71 m³/h;AT;46.81479;13.77972;;;;;;;;;
2002;Neulengbach;FB Sport-, Nichtschwimmer-, und Kinderbecken;526;m³/h;526 m³/h;AT;47.559715;14.322863;;;;;;;;;
2002;Holmes Place Wipplinger Str.;HB;150;m³/h;150 m³/h;AT;48.2143;16.3682;;;;;;;;;
2002;HAPIMAG Sonnleiten;HB;50;m³/h;50 m³/h;AT;47.4152;12.7996;;;;;;;;;
2002;Aura Vösendorf;FB Nichtschwimmerbecken;25;m³/h;25 m³/h;AT;48.1278;16.3211;;;;;;;;;
2002;Wieselburg;FB Erlebnis- u. Kinderbecken;362;m³/h;362 m³/h;AT;48.1333;15.15;;;;;;;;;
2002;Vorau;FB Kinderbecken;57;m³/h;57 m³/h;AT;47.45;15.8667;;;;;;;;;
2002;Hotel Grimmingblick;HB Erlebnisbecken Whirlpool  ;60;m³/h;60 m³/h;AT;47.4281;13.8625;;;;;;;;;
2002;Österr. Gewerkschaftsbund;Außenbecken, Kinderbecken  ;45;m³/h;45 m³/h;AT;48.2083;16.3731;;;;;;;;;
2002;Selzthal;FB Sport-, Nichtschwimmer-, und Kinderbecken;386;m³/h;386 m³/h;AT;47.5333;14.3167;;;;;;;;;
2002;Ormoz;FB;86;m³/h;86 m³/h;SLO;46.4111;16.1494;;;;;;;;;
2002;Riegersburg;Kinderbecken;45;m³/h;45 m³/h;AT;46.9833;15.9;;;;;;;;;
2002;Flattach ;FB;383;m³/h;383 m³/h;AT;46.9667;13.1833;;;;;;;;;
2002;Sonnenwaldbad Donnerskirchen;FB;330;m³/h;330 m³/h;AT;47.9;16.65;;;;;;;;;
2002;Siegendorf;FB;320;m³/h;320 m³/h;AT;47.7833;16.5667;;;;;;;;;
2002;Brennereihotel Lagler Kukmirn;HB;87;m³/h;87 m³/h;AT;47.0667;16.2;;;;;;;;;
2002;Gasthof Stoff, St. Margarethen / Lav.;HB;28;m³/h;28 m³/h;AT;46.8331;14.8292;;;;;;;;;
2002;Gruber Hotel Bretanide;FB;188;m³/h;188 m³/h;HR;47.325;14.5153;;;;;;;;;
2002;Izovod;HB;15;m³/h;15 m³/h;HR;45.1628;18.2562;;;;;;;;;
